reference,pinned_revision,observed_license,url,use
Call of the Wild / KingmakerRebalance,1332fb0db844b7863f484ca978bea2349fe49769,MIT,https://github.com/Holic75/KingmakerRebalance/tree/1332fb0db844b7863f484ca978bea2349fe49769,"Kingmaker startup, class and blueprint patterns"
Cowboys and Demons,68f2ee40ef6dc779df0e104392029b7764684fb5,CC0-1.0 for code repository,https://github.com/Sumotoad987/Cowboys-and-Demons/tree/68f2ee40ef6dc779df0e104392029b7764684fb5,WotR firearm/Gunslinger proof and known limitations
Unity Mod Manager,6c51f21caa273ffea2747f5bf23c817a0b24bafd,MIT,https://github.com/newman55/unity-mod-manager/tree/6c51f21caa273ffea2747f5bf23c817a0b24bafd,Loader baseline 0.32.5
